condition,cell,n_cycles,Q_initial_Ah,Q_final_Ah,SOH_final_pct,fade_slope_pct_per_cycle,fade_intercept_pct,eol80_cycle,cumulative_Ah_final,CE_median,EE_median,DOD_pct,C_ch,C_dis,T_degC
DOD100_2C2C_50degC,S2000FP5HX,405,1.2071666940712071,1.2523427777787326,103.74232356884927,-0.00525808384619371,101.2984964633419,,490.03239141082327,1.0024245615198413,0.9220625227917691,100.0,2.0,2.0,50.0
DOD100_2C2C_50degC,S2000FQM84,405,1.2082004882733985,1.2491998569041258,103.39342427259885,-0.007122064986016581,101.51353461569205,,489.652739400688,1.0022936449863697,0.9203275592768007,100.0,2.0,2.0,50.0
DOD20_2C2C_25degC,S2000FN6H3,3400,0.24003542983499523,0.24001391348637371,99.9910361780191,-1.529003437211926e-06,99.99913801059401,,816.092206860969,1.0139958301581444,0.9511635638345197,20.0,2.0,2.0,25.0
DOD20_2C2C_25degC,S2000FN72C,3400,0.24003530858686584,0.24001436227499318,99.99127365386536,-1.2650966719679453e-06,99.99820918584196,,816.0878768367133,1.0139909009727295,0.9516856542724725,20.0,2.0,2.0,25.0
DOD20_2C2C_25degC,S2000FPG1Z,3400,0.2400140572214341,0.24001379308441342,99.99988994935391,-1.4623965071999674e-06,100.00788117098723,,816.0918151554188,1.014179952657258,0.9503179484716526,20.0,2.0,2.0,25.0
DOD20_2C2C_40degC,S2000FM244,3400,0.24005227821520567,0.24001768170502996,99.98558792674956,-1.7949809892070213e-06,99.9934121691566,,816.0990647971561,1.0135776790278337,0.9607639526997303,20.0,2.0,2.0,40.0
DOD20_2C2C_40degC,S2000FMW48,3400,0.24003503155544306,0.2400203929935515,99.99390148937982,-1.1761462892988529e-06,99.99899664385788,,816.0945960251246,1.0141255561148714,0.964626340636888,20.0,2.0,2.0,40.0
DOD20_2C2C_40degC,S2000FN0IZ,3400,0.24003538419121775,0.24002016059983966,99.99365777198666,-1.1773096365529371e-06,99.9988572900428,,816.0946415108871,1.0136102133438212,0.96424004770197,20.0,2.0,2.0,40.0
DOD80_1C1C_-10degC,S2000FNG5F,102,0.9635417094723286,0.6854151165783419,71.13497110090863,-0.692654612323487,102.18201009030237,50.0,65.36715472036286,0.8645977636632491,0.719014420589055,80.0,1.0,1.0,-10.0
DOD80_1C1C_-10degC,S2000FO405,405,0.9433426852353419,0.4828593951739286,51.18600088084284,-0.1661351116380885,53.249646478503216,44.0,74.59301747017196,1.0429968748246612,0.692502160845639,80.0,1.0,1.0,-10.0
DOD80_1C1C_-10degC,S2000FPM7N,405,0.9487003540624118,0.5067378432507837,53.41389840120658,-0.2046041829633952,65.94788287657698,63.0,93.8014161272518,1.0352369658339582,0.6865977673177465,80.0,1.0,1.0,-10.0
DOD80_2C2C_25degC,S2000FMYNP,2600,0.9409530521576747,0.9187837499525547,97.64395235721015,-0.0005446295190264797,98.97572488876645,,2404.091095575233,1.0037800829173456,0.9142559763256319,80.0,2.0,2.0,25.0
DOD80_2C2C_25degC,S2000FNNDT,2600,0.9407630299983857,0.9228444995619847,98.09531945186752,-0.0003869107958491881,99.076854107086,,2411.0962380015976,1.0036564914073898,0.914384072957655,80.0,2.0,2.0,25.0
DOD80_2C2C_25degC,S2000FPKDB,2600,0.9377703183490452,0.9202543717613716,98.13217093301581,-0.0003610704236967304,99.06965459331434,,2404.069999814854,1.003748538834612,0.9136539428736404,80.0,2.0,2.0,25.0
DOD80_2C2C_40degC,S2000FLPGG,2200,0.9604863926403029,0.9296551004963689,96.79003342679523,-0.0008013563796054783,98.20216500232819,,2056.445540127257,1.0037318977522087,0.9296965140809705,80.0,2.0,2.0,40.0
DOD80_2C2C_40degC,S2000FMEL8,2200,0.955871530606593,0.9298706029062181,97.2798721514517,-0.0006196136254567303,98.4485792398456,,2055.952796953404,1.0034630986516677,0.9292722911668585,80.0,2.0,2.0,40.0
DOD80_2C2C_40degC,S2000FMOQ0,2200,0.9501111636853558,0.9208999057120728,96.92549050155601,-0.0007082721111476145,98.1918895376671,,2036.1581460170669,1.0036639790803061,0.9290015127612576,80.0,2.0,2.0,40.0
DOD80_2C2C_50degC,S2000FPNAD,405,1.0654663749336597,1.2608387467277968,118.33679376379212,-0.004560878709806782,89.45177989818893,,382.0016403932067,1.0033808671578197,0.9378504615305236,80.0,2.0,2.0,50.0
DOD80_2C2C_50degC,S2000FPXAW,405,1.0751662014917223,1.2800839434392892,119.05916886740461,-0.004270868436681836,89.24915629306088,,384.8533640957122,1.0033848754691441,0.9358591330463493,80.0,2.0,2.0,50.0
DOD80_2C2C_50degC,S2000FQD0M,405,1.0758828323312464,1.2683254843468652,117.88695257815667,-0.004610490354811741,89.52350555102917,,386.00490135299657,1.0033646524128308,0.9382304004520071,80.0,2.0,2.0,50.0
