path,condition,test_type,cell,visit,test_id,rpt_T_degC,size_MB,DOD_pct,C_ch,C_dis,T_degC
/media/kabir/Research/Project/sodium battery /Data_Failure_Mode_and_Degradation_Analysis_of_a_Commercial_Sodium-Ion_Battery_With_Severe_Gassing_Issue/Standard cycling/DOD100_1C1C_25degC/CU_at_25degC/S2000FNX7G_CU_at25degC_V08_5216.ird,DOD100_1C1C_25degC,CU,S2000FNX7G,8,5216,25,15.507,100.0,1.0,1.0,25.0
/media/kabir/Research/Project/sodium battery /Data_Failure_Mode_and_Degradation_Analysis_of_a_Commercial_Sodium-Ion_Battery_With_Severe_Gassing_Issue/Standard cycling/DOD100_1C1C_25degC/CU_at_25degC/S2000FNX7G_CU_at25degC_V10_5269.ird,DOD100_1C1C_25degC,CU,S2000FNX7G,10,5269,25,15.435,100.0,1.0,1.0,25.0
/media/kabir/Research/Project/sodium battery /Data_Failure_Mode_and_Degradation_Analysis_of_a_Commercial_Sodium-Ion_Battery_With_Severe_Gassing_Issue/Standard cycling/DOD100_1C1C_25degC/CU_at_25degC/S2000FNX7G_CU_at25degC_V12_5332.ird,DOD100_1C1C_25degC,CU,S2000FNX7G,12,5332,25,15.316,100.0,1.0,1.0,25.0
/media/kabir/Research/Project/sodium battery /Data_Failure_Mode_and_Degradation_Analysis_of_a_Commercial_Sodium-Ion_Battery_With_Severe_Gassing_Issue/Standard cycling/DOD100_1C1C_25degC/CU_at_25degC/S2000FNX7G_CU_at25degC_V14_5384.ird,DOD100_1C1C_25degC,CU,S2000FNX7G,14,5384,25,15.174,100.0,1.0,1.0,25.0
/media/kabir/Research/Project/sodium battery /Data_Failure_Mode_and_Degradation_Analysis_of_a_Commercial_Sodium-Ion_Battery_With_Severe_Gassing_Issue/Standard cycling/DOD100_1C1C_25degC/CU_at_25degC/S2000FNX7G_CU_at25degC_V16_5418.ird,DOD100_1C1C_25degC,CU,S2000FNX7G,16,5418,25,15.026,100.0,1.0,1.0,25.0
/media/kabir/Research/Project/sodium battery /Data_Failure_Mode_and_Degradation_Analysis_of_a_Commercial_Sodium-Ion_Battery_With_Severe_Gassing_Issue/Standard cycling/DOD100_1C1C_25degC/CU_at_25degC/S2000FQ0EW_CU_at25degC_V00_4906.ird,DOD100_1C1C_25degC,CU,S2000FQ0EW,0,4906,25,15.421,100.0,1.0,1.0,25.0
/media/kabir/Research/Project/sodium battery /Data_Failure_Mode_and_Degradation_Analysis_of_a_Commercial_Sodium-Ion_Battery_With_Severe_Gassing_Issue/Standard cycling/DOD100_1C1C_25degC/CU_at_25degC/S2000FQ0EW_CU_at25degC_V02_4986.ird,DOD100_1C1C_25degC,CU,S2000FQ0EW,2,4986,25,15.474,100.0,1.0,1.0,25.0
/media/kabir/Research/Project/sodium battery /Data_Failure_Mode_and_Degradation_Analysis_of_a_Commercial_Sodium-Ion_Battery_With_Severe_Gassing_Issue/Standard cycling/DOD100_1C1C_25degC/CU_at_25degC/S2000FQ0EW_CU_at25degC_V04_5073.ird,DOD100_1C1C_25degC,CU,S2000FQ0EW,4,5073,25,15.532,100.0,1.0,1.0,25.0
/media/kabir/Research/Project/sodium battery /Data_Failure_Mode_and_Degradation_Analysis_of_a_Commercial_Sodium-Ion_Battery_With_Severe_Gassing_Issue/Standard cycling/DOD100_1C1C_25degC/CU_at_25degC/S2000FQ0EW_CU_at25degC_V06_5146.ird,DOD100_1C1C_25degC,CU,S2000FQ0EW,6,5146,25,15.496,100.0,1.0,1.0,25.0
/media/kabir/Research/Project/sodium battery /Data_Failure_Mode_and_Degradation_Analysis_of_a_Commercial_Sodium-Ion_Battery_With_Severe_Gassing_Issue/Standard cycling/DOD100_1C1C_25degC/CU_at_25degC/S2000FQ0EW_CU_at25degC_V08_5218.ird,DOD100_1C1C_25degC,CU,S2000FQ0EW,8,5218,25,15.459,100.0,1.0,1.0,25.0
/media/kabir/Research/Project/sodium battery /Data_Failure_Mode_and_Degradation_Analysis_of_a_Commercial_Sodium-Ion_Battery_With_Severe_Gassing_Issue/Standard cycling/DOD100_1C1C_25degC/CU_at_25degC/S2000FQ0EW_CU_at25degC_V10_5271.ird,DOD100_1C1C_25degC,CU,S2000FQ0EW,10,5271,25,15.375,100.0,1.0,1.0,25.0
